1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
28064,24628,26632,28923,24914,26632,26346,28923,23769,26060,26060,26632,28637,26346,29496,25487,25200,24055,28351,25773,24341,26919,27205,33219,25773,28064,27491,24628,24914,24341,25487,22337,24628,23769,22910,27491,26632,28923
116838,166667,120275,125430,132302,127148,97938,113402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
